timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601652393588,10815464,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652393588,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652393589,6070,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652394590,10820046,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652394591,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652394591,7198,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652395592,10820148,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652395593,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652395593,8601,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652396594,10821308,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652396594,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652396594,8221,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652397595,10822640,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652397595,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652397596,8017,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652398597,10823394,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652398597,51163,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652398597,5639,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652399597,10823421,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652399597,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652399597,4676,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652400598,10822500,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652400598,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652400598,4302,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652401598,10821750,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652401598,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652401598,4079,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652402599,10821750,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652402599,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652402599,4698,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652403600,10821808,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652403600,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652403600,4506,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652404601,10822109,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652404601,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652404601,4656,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652405601,10821308,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652405601,51162,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652405601,3493,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652406602,10820710,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652406602,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652406602,6807,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652407603,10820839,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652407603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652407603,5062,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652408603,10821437,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652408603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652408603,7196,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652409603,10823613,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652409603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652409603,5498,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652410603,10826820,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652410603,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652410603,4079,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652411604,10826757,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652411604,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652411604,7641,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652412605,10826910,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652412605,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652412605,3704,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652413607,10826777,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652413607,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652413607,4091,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652414608,10825812,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652414608,51161,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652414608,5829,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652415608,10825699,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652415608,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652415608,7783,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652416608,10825578,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652416608,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652416608,6688,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652417609,10825535,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652417609,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652417609,6814,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652418610,10824386,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652418610,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652418610,6958,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652419611,10825484,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652419611,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652419611,7260,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652420611,10824683,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652420611,51160,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652420611,9754,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652421612,10823742,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652421612,51159,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652421612,7644,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652422613,10823136,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652422613,51159,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652422613,5607,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652423613,10823421,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652423613,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652423613,10010,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652424613,10820515,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652424613,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652424613,4232,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652425613,10820476,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652425613,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652425613,6285,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652426614,10820386,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652426614,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652426614,7813,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652427615,10819542,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652427615,51158,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652427615,7412,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652428615,10819011,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652428615,51157,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652428615,8011,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652429615,10818929,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652429615,51157,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652429615,5649,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652430616,10819046,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652430616,51157,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652430616,6226,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652431616,10818281,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652431616,51156,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652431616,7248,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652432616,10818250,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652432616,51156,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652432616,5825,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652433617,10818218,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652433617,51156,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652433617,10292,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652434618,10818210,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652434618,51156,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652434618,6938,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652435619,10818480,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652435619,51155,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652435619,9147,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652436619,10821339,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652436619,51155,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652436619,6626,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652437619,10821074,localhost Memory unit=mb:used,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601652437619,51155,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
