timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601665984159,12,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,12,0,0
1601665984172,10,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,12666,344,1,2,http://localhost:8080/service/guestbook,10,0,0
1601665984184,8,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,751,1,2,http://localhost:8080/service/guestbook,8,0,0
1601665984193,20,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,12786,318,1,2,http://localhost:8080/service/guestbook,19,0,0
1601665984016,203,UC_03_clearGuestbookHistory,200,"Number of samples in transaction : 4, number of failing samples : 0",UC_03_clearGuestbookHistory 2-1,,true,,39406,1094,1,2,null,0,280,131
1601665984019,20,connect_to_server,200,,UC_03_clearGuestbookHistory 2-1,text,true,,22653,355,1,2,http://localhost:8080/,20,0,2
1601665984044,12,click_guestbook_1,200,,UC_03_clearGuestbookHistory 2-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,12,0,0
1601665984058,29,click_guestbook_2,200,,UC_03_clearGuestbookHistory 2-1,text,true,,12630,344,1,2,http://localhost:8080/service/guestbook,28,0,0
1601665984097,142,JDBC_DELETE_BOOK,200,OK,UC_03_clearGuestbookHistory 2-1,text,true,,11,0,1,2,null,142,0,129
1601665984214,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,515,0
1601665984730,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,10,0
1601665984741,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,33,0
1601665984775,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,12,0
1601665984214,572,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,33782,2398,1,2,null,0,0,0
1601665984716,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,12,0,0
1601665984730,10,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,10,0,0
1601665984741,11,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,11,0,0
1601665984753,21,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,272,344,1,2,http://localhost:8080/service/guestbook,21,0,0
1601665984775,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,586,1,2,http://localhost:8080/service/guestbook,6,0,0
1601665984782,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,336,318,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665984788,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,515,0
1601665985303,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,10,0
1601665985314,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,14,0
1601665985329,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665984788,552,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,33945,2499,1,2,null,0,0,0
1601665985290,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,12,0,0
1601665985304,9,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,9,0,0
1601665985314,9,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,9,0,0
1601665985323,5,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,336,344,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665985329,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,687,1,2,http://localhost:8080/service/guestbook,6,0,0
1601665985335,5,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,435,318,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665985341,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,515,0
1601665985857,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665985868,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,15,0
1601665985883,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,12,0
1601665985341,553,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,34089,2345,1,2,null,0,0,0
1601665985844,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,12,0,0
1601665985858,9,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,9,0,0
1601665985869,8,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,8,0,0
1601665985878,5,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,435,344,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665985884,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,533,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665985890,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,480,318,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665985896,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,516,0
1601665986412,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665986424,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,16,0
1601665986440,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,13,0
